Character,Face,Position,Text,Background
효과,,,,필드
엘릭시온,,0,...어이` 괜찮나?,
표탈 마법사,,0,아...구해주셔서 감사합니다. 검사님 아니면 어찌 되었을지…,
엘릭시온,,0,감사 인사는 됐어. 방해꾼을 치운 것 뿐이니.,
표탈 마법사,,0,그럼` 어디로 이동하시겠습니까?,
엘릭시온,,0,(그러고보니 편지에 좌표가 있었지… 보여주자.),
이름없음,,,(지도아이템 보여줌),
포탈 마법사,,0,이 편지는… 그렇군요` 알겠습니다. 포탈 위로 올라가 눈을 감아주십시오.,
포탈 마법사,,0,그럼` 전송을 시작합니다.,
효과,,,#모두 퇴장,
효과,,,,암흑
이름없음,,, ,
시종,,0,"기다리고 있었습니다` 엘릭시온님. 자, 저를 따라오시죠.",
효과,,,#모두 퇴장,
효과,,,,알현실
이름없음,,, ,
시종,,0,폐하` 모셔왔습니다.,
엘릭시온,,-1,…(황제 폐하께선 여전하시군.),
???,,1,만나게 되어 반갑네` 엘릭시온. 짐의 편지가 잘 갔나보군.,
라디슬라프 황제,,1,"편지에도 쓰여있었지만 다시 소개하도록 하지. 짐은 이 나라, 카르난데 제국의 황제` 라디슬라프 루 카르난데 3세라네.",
엘릭시온,,-1,...만나뵙게 되어 영광입니다` 폐하. ,
라디슬라프 황제,,1,"그럼, 단도직입적으로 말하지. 짐` 그리고 이 나라는 자네 도움이 필요하다네.",
라디슬라프 황제,,1,현재 이른바 <강조>‘정화자’</강조> 를 믿는다는 교단이 점점 세력을 키워가고 있는 것은 자네도 알테지. 세간에서는 그 ‘정화자’가 <강조>‘마왕’</강조> 이라고 불리는 것 같지만 말이네.,
라디슬라프 황제,,1,인신매매` 비리` 무단 점거` 살인까지…. 온갖 악행이란 악행은 다 하고 돌아다니면서도 각 지역의 귀족층과 결탁해 심지어는 황제인 나도 함부로 건들 수 없게 되어버렸어. 스테이션의 마법사들을 철수시켜 이동을 막는것이 고작이었다네. ,
라디슬라프 황제,,1,"그러던 중, 짐은 요 며칠동안 똑같은 꿈을 꾸었다네. 누군가가 나를 부르며` 에클리 마을의 적발의 검사만이 이 나라의 희망이라고 말하는 목소리를… 그 목소리는 마치` 루 디나르 신의 부름과도 같았지.",
엘릭시온,,-1,…..,
라디슬라프 황제,,1,...이렇게 부탁하겠네. 교단과 그들의 수장인 소위 ‘교황’ ` 그리고 ‘마왕’ 을….물리쳐주게나. 자네에게 무거운 부탁이라는건 알겠네. 하지만..우리들도 더이상 어떻게 해야할지 모르겠어. 나에겐...이 나라를 지켜야 할 의무가 있으니.,
엘릭시온,,-1,명을 받들겠나이다.,
엘릭시온,,-1,(....늘 그랬던 것처럼.) ,
라디슬라프 황제,,1,...고맙네` 정말 고마워.  ,
라디슬라프 황제,,1,비록 직접 나설 수 없는 몸이지만` 자네에게 내가 줄 수 있는 모든 도움을 주겠네. 일단 여기`,
엘릭시온,,-1,(묵직한 주머니다. 작게 나뉜 금덩이와 은덩이가 들어 있다.) ,
라디슬라프 황제,,1,교단이 지배하는 마을도 지나야 할 테니` 내 얼굴이 대문짝만하게 찍인 금화보다는 그게 낫겠지. 그리고` 이것도 주겠네`,
엘릭시온,,-1,(황제 폐하가 옷에서 뗀 브로치다. 은색 테두리 가운데에 큰 붉은색 보석이 박혀있다.),
라디슬라프 황제,,1,나와의 직통 연락 수단이라네. 보석에 대고 내 이름을 말하면 바로 내가 가지고 있는 반대쌍의 브로치와 연결되지. 무슨 일이 있어도 잃어버려서는 안되네. 알겠나?,
엘릭시온,,-1,예` 폐하.,
라디슬라프 황제,,1,그럼….. 연락을 기다리겠네.,
시종,,0,이쪽으로` 안내해드리겠습니다.,
효과,,,#모두 퇴장,
효과,,,,암흑
이름없음,,, ,
효과,,,,지디칼리
엘릭시온,,0,그럼...처음 갈곳은 <강조>퀼란</강조>이군. 숲이 아름다운 곳이지. ,
엘릭시온,,0,지디칼리는 역시 제국의 수도라 그런지 늘 번화하군. 그럼` 가기 전에 채비를 좀 해 둘까.,
효과,,,#모두 퇴장,
